product_uid,material
100433.0,metal
100436.0,stainless steel
100438.0,metal
100439.0,wood wood
100440.0,aluminum
100441.0,composit
100444.0,brass
100446.0,vitreous china
100447.0,steel
100448.0,vitreous china
100449.0,steel
100450.0,brass
100451.0,other
100455.0,wood
100456.0,steel
100457.0,aluminum
100458.0,medium densiti fiberboard (mdf)
100460.0,foam steel glass
100462.0,composit
100463.0,polyfib steel glass
100465.0,wood
100466.0,wood
100468.0,vitreous china
100472.0,wood
100474.0,steel
100475.0,aluminum
100476.0,wood
100478.0,steel plastic
100479.0,lamin
100485.0,stainless steel
100486.0,metal
100488.0,plastic
100491.0,chrome-pl steel porcelain
100494.0,plastic
100495.0,metal steel
100497.0,metal
100498.0,lamin
100499.0,hdpe(high densiti polethylene)
100500.0,wood
100502.0,metal
100505.0,synthet
100507.0,wood wood
100508.0,wood
100509.0,concret
100512.0,steel
100514.0,zinc
100515.0,"glass,steel"
100516.0,comfort grip
100517.0,resin
100520.0,steel
100523.0,steel
100526.0,fibr reinforc polym (frp)
100528.0,aluminum
100531.0,steel
100533.0,galvan steel
100537.0,rubber
100540.0,acryl
100542.0,other
100543.0,plastic
100546.0,ceram
100547.0,chrome-pl steel porcelain
100548.0,plastic
100549.0,metal
100551.0,porcelain
100552.0,composit
100554.0,ceram
100556.0,stainless steel
100558.0,fiberglass
100559.0,other
100561.0,100% polyest 0
100562.0,ceram
100563.0,stainless steel stainless steel
100565.0,steel
100568.0,stone
100569.0,steel
100573.0,wood
100577.0,plywood steel
100583.0,plastic
100584.0,galvan steel
100585.0,foam steel
100587.0,lamin particl board
100593.0,steel
100594.0,acryl
100596.0,steel
100597.0,wood
100598.0,stainless steel
100600.0,composit
100601.0,steel
100602.0,aluminum
100603.0,wood carbid
100607.0,canva
100610.0,glass
100611.0,vitreous china
100612.0,particl board engin quartz composit
100613.0,pvc
100615.0,steel
100619.0,stainless steel
100620.0,epoxy/2 part
100621.0,plastic
100623.0,polypropylen
100624.0,wood
100625.0,vitreous china
100626.0,galvan steel
100628.0,vitreous china
100631.0,steel
100632.0,vitreous china
100633.0,resin
100634.0,wire
100636.0,stainless steel metal
100638.0,high speed steel
100639.0,steel
100640.0,no shelf glass
100641.0,metal
100644.0,nylon
100645.0,vinyl
100646.0,polypropylen
100647.0,plastic
100649.0,metal metal
100650.0,vitreous china
100654.0,porcelain
100655.0,medium densiti fiberboard (mdf)
100659.0,vitreous china
100661.0,steel
100662.0,steel
100663.0,steel
100664.0,galvan steel
100669.0,vitreous china marbl
100670.0,other
100672.0,steel
100677.0,resin
100679.0,polyest
100681.0,concret
100682.0,wood
100684.0,vinyl
100686.0,steel
100688.0,composit composit
100691.0,metal
100693.0,metal
100695.0,wood
100699.0,solid brass
100700.0,steel
100703.0,ceram
100705.0,fiberglass and pvc
100706.0,polyest
100707.0,metal
100709.0,cement
100712.0,bi-met multi-purpos
100714.0,drywal
100715.0,high densiti fiberboard (hdf)
100717.0,metal
100720.0,vinyl
100721.0,steel
100725.0,steel
100726.0,steel
100728.0,vinyl
100729.0,aluminum
100731.0,wire
100733.0,plastic
100734.0,steel
100737.0,marbl
100738.0,powder-co steel
100739.0,steel
100741.0,plywood
100742.0,metal
100744.0,stainless steel
100745.0,polypropylen
100747.0,rubber
100748.0,metal
100749.0,wood
100751.0,metal
100753.0,steel
100755.0,synthet
100756.0,wood
100757.0,particl board
100762.0,vinyl
100763.0,other
100766.0,plastic/steel steel
100767.0,composit
100768.0,metal
100769.0,vinyl
100772.0,composit
100774.0,comfort grip
100778.0,wood
100780.0,other wood
100783.0,vinyl
100784.0,marbl
100790.0,metal
100791.0,aluminum
100793.0,rebond 80
100794.0,steel
100795.0,fiberglass
100796.0,marbl particl board cultur marbl
100798.0,nylon 0
100800.0,epoxy/2 part
100802.0,other
100803.0,other
100805.0,metal
100806.0,wire
100807.0,polyurethan
100811.0,copper type l hard temper brass
100813.0,composit
100815.0,plastic
100818.0,aluminum
100820.0,bamboo
100821.0,steel
100823.0,solid brass
100824.0,plastic
100825.0,plastic
100829.0,cedar plastic/metal/wood
100830.0,brass
100831.0,stone
100832.0,metal
100835.0,aluminum no handl
100836.0,brass brass
100838.0,vinyl
100842.0,iron
100845.0,wood
100847.0,glass
100849.0,metal
100851.0,aluminum
100852.0,other
100853.0,plywood
100854.0,bamboo
100855.0,aluminum
100856.0,steel
100857.0,steel
100858.0,plastic
100860.0,vinyl
100861.0,vinyl
100862.0,metal
100863.0,vinyl
100866.0,other
100869.0,lamin
100872.0,wood wood
100873.0,steel
100874.0,rubber
100877.0,wrought iron
100878.0,steel
100879.0,galvan steel
100881.0,zinc
100882.0,aluminum
100884.0,metal
100887.0,synthet
100888.0,composit
100889.0,pvc
100890.0,polypropylen
100892.0,pvc
100894.0,pvc
100896.0,wood wood
100897.0,steel
100898.0,composit
100900.0,metal
100902.0,medium densiti fiberboard (mdf)
100904.0,steel
100905.0,vinyl
100906.0,bi-met steel multi-purpos
100907.0,composit wood
100908.0,steel
100911.0,medium densiti fiberboard (mdf)
100912.0,aluminum polypropylen
100915.0,plastic
100916.0,wood
100918.0,steel
100920.0,vinyl
100925.0,metal
100929.0,porcelain medium densiti fiberboard (mdf) granit
100930.0,composit compress mold fibergla and resin
100931.0,aluminum
100932.0,ceram
100935.0,other
100939.0,wood
100943.0,steel steel
100945.0,steel steel
100947.0,solid surfac
100949.0,brass
100950.0,steel
100952.0,wood wood
100954.0,steel
100957.0,"metal metal, wood, fossil stone"
100958.0,other
100959.0,vinyl
100960.0,wood
100964.0,lamin
100965.0,steel
100966.0,metal
100969.0,polyest
100975.0,wrought iron
100980.0,reinforc
100982.0,alumin steel
100983.0,multi-purpos diamond
100985.0,stone
100986.0,steel
100987.0,rubber
100990.0,aluminum & copper
100992.0,carbon wood
100993.0,metal wood rubber
100995.0,metal
100997.0,concret
100999.0,vitreous china
101001.0,polyethylen
101005.0,vinyl vinyl
101007.0,steel
101008.0,wood wood
101009.0,metal
101010.0,multi-purpos diamond
101011.0,composit
101012.0,bi-met multi-purpos
101013.0,wood
101014.0,plastic
101015.0,wood
101016.0,concret
101017.0,polyest
101021.0,bamboo
101022.0,glass
101025.0,polyfib steel glass
101027.0,stainless steel
101028.0,concret
101030.0,bamboo
101032.0,zinc
101035.0,aluminum
101036.0,steel
101037.0,cast iron
101039.0,metal
101042.0,lamin
101043.0,vitreous china
101045.0,vitreous china
101046.0,plastic
101048.0,steel
101049.0,vitreous china
101052.0,steel
101053.0,composit
101054.0,medium densiti fiberboard (mdf)
101055.0,concret
101056.0,vinyl
101058.0,wire
101059.0,wood
101061.0,metal
101062.0,metal rubber
101064.0,pvc
101065.0,rubber
101067.0,metal
101070.0,rubber
101072.0,acryl
101075.0,steel
101076.0,"composit wood, laminate, metal and glass materi"
101077.0,lamin
101078.0,vinyl
101079.0,fiberglass
101082.0,steel steel
101084.0,plastic
101085.0,metal
101094.0,wood
101096.0,plastic
101097.0,metal
101098.0,steel
101101.0,vinyl
101102.0,vinyl
101105.0,water
101107.0,steel
101108.0,lamin particl board
101109.0,wood
101114.0,vinyl
101115.0,vinyl
101116.0,metal
101120.0,steel
101122.0,zinc
101128.0,plastic plastic
101129.0,high densiti fiberboard (hdf)
101130.0,steel
101131.0,vinyl
101132.0,glass glass
101133.0,steel
101134.0,resin
101135.0,medium densiti fiberboard (mdf)
101137.0,brass
101138.0,vitreous china
101139.0,wood
101141.0,wood
101144.0,stainless steel
101146.0,zinc
101148.0,no shelf glass
101151.0,vitreous china
101152.0,metal
101153.0,wood
101156.0,plastic
101157.0,pb
101158.0,metal
101160.0,composit
101162.0,stainless steel
101165.0,steel
101166.0,vinyl
101167.0,polypropelen 0 synthet
101168.0,plastic
101172.0,wood
101174.0,metal
101175.0,metal
101178.0,synthet
101179.0,aluminum
101180.0,other
101181.0,wood
101182.0,composit
101184.0,vitreous china
101185.0,galvan steel steel plastic/met
101188.0,wood
101191.0,metal
101195.0,plastic
101196.0,stainless steel
101197.0,lamin particl board
101199.0,steel
101200.0,metal
101201.0,aluminum
101203.0,wood
101205.0,steel
101206.0,medium densiti fiberboard (mdf)
101210.0,medium densiti fiberboard (mdf)
101211.0,steel
101212.0,steel
101213.0,plastic
101214.0,steel
101215.0,particl board
101217.0,plastic
101218.0,plastic
101220.0,wood wood solid-surfac materi
101221.0,ceram
101223.0,metal
101224.0,ceram
101225.0,vitreous china
101227.0,steel
101228.0,cast iron
101229.0,plastic
101231.0,wood wood
101232.0,polypropylen
101233.0,stainless steel
101235.0,plastic
101237.0,chrome-pl steel porcelain
101239.0,glass
101241.0,aluminum
101242.0,medium densiti fiberboard (mdf)
101244.0,pvc
101245.0,metal
101248.0,foam steel
101249.0,rubber
101250.0,other
101253.0,wood
101254.0,plastic
101255.0,plastic
101258.0,other
101260.0,steel polypropylen cast polym
101261.0,cast iron
101264.0,concret
101268.0,powder-co steel
101271.0,stainless steel
101273.0,copper
101274.0,fiberglass
101275.0,synthet
101276.0,wood
101277.0,lamin
101284.0,nylon
101288.0,metal
101290.0,solid brass
101295.0,steel
101299.0,plastic
101300.0,steel
101301.0,natur stone
101302.0,vinyl
101303.0,polypropylen
101307.0,aluminum
101308.0,100% post-industri recycl synthet fiber with a non-skid rubber back 90
101309.0,steel steel solid-surfac materi
101310.0,aluminum
101312.0,steel
101313.0,steel
101314.0,wood
101315.0,other
101316.0,aluminum
101317.0,glass
101318.0,vinyl
101319.0,plastic
101320.0,composit
101321.0,lamin
101322.0,vitreous china
101324.0,zinc
101325.0,steel steel
101327.0,steel
101329.0,alumin alloy steel
101335.0,brass
101336.0,stainless steel
101338.0,plastic
101340.0,metal
101341.0,lamin
101345.0,steel
101346.0,mdf / composit wood
101347.0,vitreous china
101348.0,metal
101349.0,steel
101351.0,carbon wood
101352.0,steel
101354.0,lamin
101355.0,plastic
101356.0,wood
101360.0,metal steel
101361.0,plastic
101364.0,other
101366.0,metal plastic/metal/wood
101369.0,galvan steel
101370.0,steel
101371.0,steel
101372.0,composit
101373.0,particl board engin quartz composit
101374.0,multi-surfac
101375.0,steel
101379.0,bamboo
101380.0,stainless steel
101381.0,metal
101383.0,stainless steel
101384.0,steel
101386.0,concret
101387.0,steel fiberglass
101388.0,metal
101389.0,ceram
101391.0,powder-co steel
101392.0,polyest 100
101396.0,acryl
101400.0,vinyl
101402.0,aluminum
101403.0,zinc
101408.0,medium densiti fiberboard (mdf)
101410.0,bamboo
101411.0,aluminum
101414.0,vitreous china
101416.0,resin
101418.0,steel
101419.0,metal
101420.0,steel
101421.0,composit
101422.0,polyfib
101423.0,fiberglass
101424.0,steel
101428.0,multi-purpos diamond
101432.0,wood
101434.0,fiberglass
101435.0,synthet
101437.0,zinc
101440.0,galvan steel
101441.0,steel
101446.0,concret
101447.0,fiberglass and pvc
101448.0,pex brass
101449.0,aluminum
101450.0,metal
101452.0,steel
101453.0,aluminum aluminum
101454.0,polypropylen
101455.0,cast iron
101457.0,stainless steel
101460.0,wood
101462.0,ab plastic
101464.0,fiberglass
101465.0,wood
101466.0,cement
101467.0,plastic
101470.0,steel
101472.0,composit
101473.0,zinc comfort grip
101476.0,plastic
101477.0,fibr reinforc polym (frp)
101478.0,aluminum
101479.0,metal
101480.0,rubber
101482.0,ceram
101483.0,foam 0
101484.0,ceram
101486.0,steel
101487.0,high densiti fiberboard (hdf)
101488.0,vinyl
101489.0,stainless steel
101490.0,chrome-pl steel porcelain
101491.0,wood
101492.0,other
101493.0,steel
101495.0,aluminum
101496.0,"metal metal, rattan"
101497.0,no handl
101498.0,wood
101499.0,steel
101502.0,plastic
101503.0,metal
101507.0,stainless steel
101510.0,fibr reinforc polym (frp)
101511.0,metal
101512.0,metal
101513.0,steel
101514.0,other wood
101515.0,polyfib
101517.0,wood
101526.0,aluminum
101527.0,16mm particl board with wood veneer and stainless steel clad pole
101531.0,acryl
101532.0,poplar other
101533.0,metal
101534.0,galvan steel
101537.0,metal
101538.0,nylon
101540.0,steel
101541.0,comfort grip
101542.0,steel
101543.0,plastic
101545.0,composit
101546.0,metal
101547.0,composit
101548.0,steel
101549.0,rubber
101551.0,steel
101552.0,copper brass
101553.0,steel
101554.0,plastic
101555.0,aluminum
101557.0,plastic
101558.0,steel
101559.0,carbon steel
101560.0,polyfib
101561.0,particl board
101564.0,steel
101565.0,wood
101566.0,metal
101568.0,thermoplast
101569.0,ceram
101571.0,metal
101573.0,metal
101575.0,metal
101579.0,stainless steel
101581.0,metal
101582.0,steel glass
101583.0,galvan steel
101584.0,plastic
101587.0,particl board
101591.0,galvan steel
101592.0,water
101593.0,aluminum
101594.0,lamin
101596.0,polyfib aluminum
101597.0,metal
101598.0,steel
101601.0,ceram
101602.0,pvc
101603.0,plastic
101604.0,resin
101605.0,wood
101606.0,multi-purpos brass
101608.0,fiberglass
101610.0,no shelf glass
101613.0,steel
101615.0,other
101616.0,zinc
101619.0,fabric
101620.0,polypropylen
101621.0,metal metal
101623.0,stainless steel
101626.0,plastic
101627.0,resin
101634.0,wire glass
101638.0,brass
101641.0,vitreous china
101642.0,steel
101643.0,plastic
101644.0,plastic
101645.0,acryl
101647.0,steel
101649.0,plastic
101650.0,polyurethan
101653.0,cement diamond
101655.0,metal
101657.0,steel
101660.0,aluminum
101661.0,plastic
101662.0,steel
101664.0,porcelain particl board porcelain
101666.0,metal
101669.0,metal
101671.0,plastic
101672.0,foam
101681.0,pvc
101682.0,steel
101683.0,metal
101687.0,steel
101689.0,metal
101690.0,aluminum
101691.0,concret
101694.0,zinc
101695.0,plastic
101697.0,stone
101698.0,plastic
101699.0,wood
101700.0,steel
101705.0,steel
101706.0,polypropelen 0 synthet
101707.0,high densiti fiberboard (hdf)
101708.0,wood
101709.0,vinyl
101710.0,plastic
101713.0,olefin 0
101714.0,steel
101715.0,wood
101716.0,concret
101718.0,aluminum
101722.0,metal
101727.0,polyest
101729.0,steel
101730.0,plastic
101731.0,zinc
101733.0,vitreous china
101736.0,aluminum
101738.0,steel
101742.0,aluminum
101743.0,plastic
101744.0,glass
101747.0,vinyl
101751.0,steel
101754.0,metal
101755.0,solid brass
101756.0,steel
101758.0,ceram
101761.0,steel
101763.0,polypropylen
101768.0,pvc
101769.0,steel
101770.0,fabric
101771.0,composit
101772.0,other wood
101774.0,plastic
101775.0,wood wood other wood
101778.0,metal
101779.0,wood
101781.0,steel
101782.0,steel
101784.0,plastic
101787.0,"poplar solids, veneers, engin wood"
101788.0,fiberglass
101789.0,porcelain-co steel
101792.0,plastic
101793.0,wood
101797.0,steel
101798.0,wood
101799.0,metal
101800.0,synthet
101801.0,wood
101802.0,steel
101803.0,steel polyest
101804.0,wood carbid
101806.0,solid brass
101807.0,paint steel
101808.0,metal
101810.0,metal
101811.0,cross-link polyethylen (pex)
101812.0,vinyl
101816.0,wood
101818.0,fabric
101820.0,nickel
101829.0,fiberglass
101830.0,plastic
101831.0,steel
101832.0,plastic
101834.0,sand
101835.0,no shelf glass
101839.0,bi-met wood
101840.0,high densiti fiberboard (hdf)
101842.0,wood
101845.0,ceram
101846.0,metal
101847.0,solid brass
101849.0,brass metal
101852.0,other
101853.0,multi-purpos brass
101854.0,glass
101855.0,metal
101859.0,concret
101862.0,polyethylen
101863.0,aluminum rubber
101866.0,wood carbid
101867.0,powder-co steel
101868.0,wood
101869.0,stainless steel
101871.0,fiberglass
101872.0,plastic
101873.0,stainless steel
101874.0,black malleabl iron iron
101877.0,plastic
101880.0,alumin alloy steel
101881.0,aluminum
101882.0,aluminum
101889.0,steel
101893.0,solid surfac
101894.0,plastic
101896.0,plastic
101897.0,metal
101898.0,medium densiti fiberboard (mdf)
101907.0,resin
101909.0,fiberglass
101910.0,pvc
101912.0,wrought iron wrought iron
101913.0,plastic
101914.0,acryl
101916.0,composit
101917.0,stainless steel
101918.0,wire glass
101921.0,other
101922.0,other
101923.0,aluminum
101925.0,powder-co steel
101931.0,glass
101933.0,composit
101934.0,synthet
101935.0,plastic
101937.0,stone
101939.0,plastic
101940.0,steel
101941.0,galvan steel steel plastic/met
101943.0,powder-co steel
101945.0,glass
101946.0,metal
101949.0,plastic
101950.0,brass
101952.0,plastic
101954.0,metal
101956.0,vitreous china
101958.0,wood
101964.0,metal other
101965.0,steel
101966.0,wood
101967.0,steel
101968.0,thermoplast
101969.0,steel
101970.0,zinc
101973.0,nylon
101975.0,rubber
101979.0,steel pvc
101980.0,wood plastic/metal/wood
101981.0,wood
101984.0,pet polyest 0
101985.0,steel
101990.0,powder-co steel powder-co steel
101991.0,stainless steel
101994.0,vinyl
101996.0,steel
101998.0,steel
102000.0,vitreous china
102007.0,plastic
102009.0,copper brass
102010.0,concret
102011.0,wood wood
102012.0,other
102013.0,acrylonitril butadien styren (abs)
102014.0,foam steel
102015.0,stainless steel
102016.0,brass
102017.0,ceram
102018.0,steel
102019.0,vinyl
102020.0,other
102021.0,other wood
102022.0,plastic
102023.0,plastic
102026.0,wood
102027.0,plastic
102028.0,pvc
102029.0,vinyl
102032.0,pvc
102033.0,manufactur from lamin particl board
102034.0,thermoplast
102035.0,steel
102037.0,acryl
102038.0,latex
102039.0,vitreous china
102040.0,steel
102041.0,synthet
102042.0,cast-iron
102044.0,plastic
102045.0,metal
102046.0,metal
102048.0,lamin particl board
102050.0,stainless steel
102051.0,steel
102053.0,plastic
102054.0,wood
102057.0,metal
102058.0,stainless steel
102059.0,medium densiti fiberboard (mdf)
102061.0,aluminum
102065.0,steel steel solid-surfac materi
102067.0,vinyl
102068.0,metal
102071.0,particl board
102072.0,porcelain
102073.0,metal
102076.0,galvan steel
102077.0,bamboo
102079.0,steel
102080.0,steel
102081.0,plastic
102085.0,steel
102086.0,ceram
102089.0,lamin
102091.0,bamboo
102094.0,metal
102098.0,plastic
102099.0,aluminum
102100.0,plastic
102101.0,aluminum
102105.0,cross-link polyethylen (pex)
102106.0,steel
102108.0,manufactur from certifi environment prefer lamin particl panel.
102109.0,metal
102110.0,metal
102111.0,acryl
102113.0,aluminum
102115.0,metal
102116.0,black malleabl iron iron
102117.0,"mdf,pb, engin wood"
102119.0,aluminum
102120.0,composit
102121.0,metal
102122.0,paper
102123.0,steel
102127.0,vitreous china
102129.0,comfort grip
102131.0,ab
102133.0,zinc rubber
102134.0,fiberglass
102137.0,steel
102138.0,vinyl
102139.0,metal
102141.0,aluminum
102142.0,stainless steel
102144.0,polyethylen
102145.0,brass
102147.0,vinyl
102148.0,wood other wood
102149.0,other
102151.0,polyfib aluminum
102153.0,steel
102155.0,bi-met multi-purpos
102161.0,plastic
102164.0,paint steel
102166.0,composit
102167.0,aluminum
102168.0,steel
102169.0,metal
102170.0,metal
102171.0,steel
102172.0,fiberglass
102175.0,particl board
102176.0,concret
102177.0,acryl
102178.0,bamboo
102179.0,steel
102180.0,aluminum rubber
102181.0,lamin particl board
102182.0,plastic
102185.0,acryl
102186.0,vinyl
102187.0,composit
102188.0,vinyl
102191.0,vitreous china
102193.0,no shelf glass
102196.0,wood
102203.0,sand
102204.0,plastic
102205.0,chrome-pl steel porcelain
102206.0,other
102207.0,steel
102213.0,cast iron
102216.0,nylon
102220.0,metal
102224.0,medium densiti fiberboard (mdf)
102226.0,powder-co steel
102228.0,steel aluminum olefin
102230.0,wood
102232.0,vinyl
102235.0,cast iron
102237.0,wood
102239.0,galvan steel
102241.0,vinyl
102242.0,recycl foam 90
102243.0,solid brass
102244.0,wood other wood
102245.0,aluminum
102247.0,chrome-pl steel porcelain
102249.0,other
102252.0,plastic
102253.0,oil
102254.0,wood
102255.0,wood
102258.0,concret
102260.0,glass
102262.0,galvan steel
102264.0,wood
102265.0,vitreous china
102267.0,vinyl
102272.0,polyest
102273.0,paper
102276.0,plastic
102277.0,composit
102279.0,vinyl
102281.0,glass
102282.0,other
102285.0,polyfib steel
102287.0,high densiti fiberboard (hdf)
102289.0,steel
102293.0,galvan steel
102294.0,multipl multi-purpos
102296.0,polyurethan
102297.0,polyurethan
102300.0,steel
102301.0,aluminum
102302.0,pvc
102304.0,vinyl
102305.0,metal
102308.0,rubber
102309.0,steel
102310.0,foam
102311.0,wood
102312.0,lamin particl board
102317.0,vitreous china
102318.0,fiberglass
102323.0,steel
102324.0,vitreous china
102326.0,wrought iron
102328.0,metal
102330.0,polyurethan
102332.0,metal
102335.0,porcelain
102336.0,wood
102342.0,steel
102343.0,stainless steel
102344.0,steel
102346.0,wood
102347.0,metal
102350.0,steel
102352.0,galvan steel
102354.0,aluminum
102355.0,vinyl
102357.0,epoxy/2 part
102359.0,steel
102360.0,wood
102361.0,multi-purpos brass
102362.0,polypropylen
102363.0,polycarbon
102365.0,steel
102366.0,vinyl vinyl
102367.0,fiberglass
102369.0,multi-purpos brass
102370.0,steel
102371.0,marbl
102374.0,medium densiti fiberboard (mdf)
102375.0,zinc
102376.0,aluminum
102377.0,galvan steel
102378.0,steel
102379.0,nylon
102381.0,vitreous china
102385.0,wood
102389.0,vinyl
102395.0,steel
102396.0,wood lamin particl board
102397.0,bamboo
102398.0,glass
102401.0,zinc
102402.0,metal
102403.0,wire glass
102404.0,concret
102406.0,galvan steel
102407.0,ceram
102410.0,aluminum
102411.0,vitreous china
102412.0,lamin
102414.0,composit other plastic
102415.0,wood
102416.0,ceram
102417.0,stainless steel
102418.0,plastic
102420.0,acrylonitril butadien styren (abs)
102424.0,polyfib
102427.0,foam steel
102429.0,steel
102430.0,galvan steel
102432.0,metal
102435.0,polypropylen 0
102436.0,steel
102438.0,vitreous china
102439.0,synthet
102441.0,fiberglass
102443.0,steel
102444.0,steel
102445.0,galvan steel
102446.0,zinc
102448.0,wood carbid
102450.0,concret
102451.0,metal
102452.0,glass
102453.0,glass
102457.0,metal
102458.0,composit composit
102459.0,steel
102463.0,steel
102464.0,resin
102465.0,plastic
102466.0,steel steel solid-surfac materi
102467.0,metal
102468.0,stone
102470.0,zinc
102471.0,vinyl
102472.0,synthet
102476.0,metal
102478.0,steel
102480.0,vitreous china
102481.0,zinc
102482.0,fabric
102488.0,stainless steel
102489.0,paper
102493.0,ceram
102494.0,wood
102495.0,synthet
102496.0,steel
102501.0,plastic
102503.0,porcelain-co steel
102504.0,powder-co steel
102507.0,steel
102508.0,fabric fabric
102510.0,vitreous china
102511.0,vinyl
102516.0,concret
102520.0,steel
102523.0,polypropylen
102526.0,steel
102528.0,pvc
102529.0,plastic
102531.0,steel
102532.0,plastic
102534.0,steel
102535.0,composit
102539.0,plastic
102540.0,lamin
102546.0,wood
102547.0,lamin
102548.0,asphalt
102551.0,steel
102554.0,foam
102555.0,steel
102556.0,fiberglass
102558.0,other wood
102559.0,polycarbon
102560.0,other
102561.0,vinyl
102564.0,steel
102565.0,aluminum
102566.0,metal
102567.0,composit composit
102569.0,steel
102570.0,steel
102572.0,steel steel
102575.0,plastic
102577.0,wood
102578.0,ceram
